,name,url,price_rate,price_rate_type,total_price,room_and_property_type,min_nights,max_nights,latitude,longitude,monthly_price_factor,weekly_price_factor,room_type,person_capacity
42,Self Check-In Studio in Saifi for your Staycation,https://www.airbnb.com/rooms/24865437,740,monthly,852,Entire apartment,1,,33.8943,35.51043,0.85,0.94,entire_home,2
43,BEIRUT VIEW PRIVATE STREET CALM AREA,https://www.airbnb.com/rooms/36675926,746,monthly,869,Entire apartment,3,,33.89853,35.59403,0.71,0.88,entire_home,5
44,"Furnished Studios in Hamra Street, AUB",https://www.airbnb.com/rooms/36156594,750,monthly,830,Entire apartment,3,,33.89776,35.47762,0.0,0.0,entire_home,2
45,شقة للايجار مفروشة بالكامل في ادونيس جونيه  لبنان,https://www.airbnb.com/rooms/33585712,750,monthly,940,Entire apartment,30,,33.96537,35.61061,1.0,1.0,entire_home,5
46,Apartment / Chalet for Rent in Samaya Sea Resort,https://www.airbnb.com/rooms/37515518,750,monthly,830,Entire condominium,30,,33.97833,35.61044,0.0,0.0,entire_home,3
47,Bouchrieh house,https://www.airbnb.com/rooms/29532517,750,monthly,830,Entire apartment,3,,33.8871,35.55486,0.0,0.0,entire_home,4
48,Lovely Spacious Apartment With Big Terrace,https://www.airbnb.com/rooms/22644345,750,monthly,841,Entire apartment,3,,33.87949,35.55927,1.0,1.0,entire_home,3
49,Cozy Studio in Achrafieh,https://www.airbnb.com/rooms/36219694,750,monthly,830,Entire apartment,1,,33.89148,35.52935,0.61,0.89,entire_home,2
50,Adonis Furnished Studio,https://www.airbnb.com/rooms/24528596,750,monthly,830,Entire apartment,1,,33.96483,35.60575,0.0,0.0,entire_home,2
51,Apartment 3 bedrooms in residential area-New Rawda,https://www.airbnb.com/rooms/40083538,750,monthly,830,Entire apartment,30,,33.88116,35.55704,0.51,0.9,entire_home,5
52,7-Convenient Private Studio minutes from Achrafieh,https://www.airbnb.com/rooms/39745720,750,monthly,841,Entire apartment,2,,33.8923,35.55114,0.0,0.0,entire_home,2
53,"Double Bed Apartment + Balcony
Popular Mar Mikhael",https://www.airbnb.com/rooms/15097879,753,monthly,877,Entire apartment,3,,33.896,35.527,0.61,0.84,entire_home,2
54,Cosy Modern Studio steps from USJ (CSS)- Huvelin,https://www.airbnb.com/rooms/41603542,756,monthly,864,Entire apartment,4,,33.88809,35.51892,0.9,0.96,entire_home,1
55,The Clemenceau Convenience,https://www.airbnb.com/rooms/43318988,760,monthly,896,Entire apartment,30,,33.89612,35.48937,0.7,1.0,entire_home,4
56,★Ace Location★ Spacious★Comfy,https://www.airbnb.com/rooms/19584330,765,monthly,857,Entire apartment,2,,33.9062,35.58021,0.85,1.0,entire_home,5
57,"Comfortable, Beautiful,Safe and Cozy Apartment",https://www.airbnb.com/rooms/33131660,765,monthly,846,Entire apartment,2,,33.89446,35.52423,0.85,0.9,entire_home,2
58,Perfect gateway - w/Pkg - near ABC Ashrafieh (1mn),https://www.airbnb.com/rooms/40299302,765,monthly,868,Entire apartment,2,,33.89,35.521,0.85,0.93,entire_home,2
59,"New furnished appartment, quiet area, sea view",https://www.airbnb.com/rooms/18966881,765,monthly,868,Entire apartment,5,,33.9082,35.58971,0.85,0.95,entire_home,2
60,Cozy Chalet for 2 or 3 persons in Siwar Complex.,https://www.airbnb.com/rooms/31456077,767,monthly,859,Entire chalet,2,,33.94566,35.59135,0.73,0.85,entire_home,2
61,FREE ACESS TO ECLUB GYM 1 MIN AWAY FROM STUDIO...,https://www.airbnb.com/rooms/33756179,768,monthly,850,Entire apartment,5,,33.97152,35.6203,0.8,0.87,entire_home,2
62,Cozy flat with an exotic touch.,https://www.airbnb.com/rooms/39107971,772,monthly,854,Entire house,7,,33.85201,35.5648,0.78,0.9,entire_home,3
63,FEELS LIKE HOME.,https://www.airbnb.com/rooms/42871944,772,monthly,854,Entire apartment,7,,33.85248,35.56307,0.78,0.0,entire_home,2
64,third floor appartment,https://www.airbnb.com/rooms/32945476,774,monthly,878,Entire apartment,4,,33.91103,35.5838,0.6,0.9,entire_home,2
65,Apartment in Broummana,https://www.airbnb.com/rooms/39117986,780,monthly,863,Entire apartment,30,,33.88611,35.63907,0.0,0.0,entire_home,4
66,back on blossom,https://www.airbnb.com/rooms/35606012,780,monthly,879,Entire apartment,2,,33.89041,35.50188,0.65,0.85,entire_home,2
67,Cozy Studio 1 in the Heart of Hamra,https://www.airbnb.com/rooms/18147452,780,monthly,863,Entire serviced apartment,1,,33.896,35.481,0.65,0.9,entire_home,2
68,Cozy flat in heart of Beirut,https://www.airbnb.com/rooms/19204100,783,monthly,888,Entire apartment,20,,33.8941,35.49074,0.58,0.9,entire_home,3
69,Fully furnished 1bedroom apartment wifi unlimited,https://www.airbnb.com/rooms/40145948,783,monthly,866,Entire apartment,2,,33.89347,35.53103,0.9,0.9,entire_home,2
70,"Cosy apartment with soul, in Ain el remaneh.",https://www.airbnb.com/rooms/41026423,790,monthly,885,Entire apartment,1,,33.86752,35.51859,0.8,0.9,entire_home,4
71,Sunny side of beirut,https://www.airbnb.com/rooms/42571424,792,monthly,876,Entire townhouse,1,,33.89555,35.53246,0.6,0.8,entire_home,5
72,cosy & easy,https://www.airbnb.com/rooms/38339285,792,monthly,898,Entire apartment,2,,33.85627,35.5367,0.8,0.9,entire_home,5
73,Well furnished Studio in kaslik,https://www.airbnb.com/rooms/7723370,792,monthly,876,Entire apartment,1,,33.9781,35.6173,0.66,0.89,entire_home,2
0,Modern | Spacious | Mar Mikhael | F&Bers | Walk,https://www.airbnb.com/rooms/38808280,809,monthly,928,Entire apartment,1,,33.89548,35.52335,0.9,0.9,entire_home,3
1,Waterfront City Rooftop - Convenience & Elegance,https://www.airbnb.com/rooms/41260482,810,monthly,924,Entire apartment,2,,33.88934,35.49516,0.75,0.9,entire_home,2
2,"Cozy 3 bedroom apartment, 10 mn from beirut",https://www.airbnb.com/rooms/31207728,810,monthly,918,Entire apartment,3,,33.8612,35.60181,0.3,0.82,entire_home,7
3,London Studio,https://www.airbnb.com/rooms/30136910,810,monthly,924,Entire apartment,1,,33.93338,35.61966,0.6,0.8,entire_home,2
4,Angel’s dorm - El HABR Bldg,https://www.airbnb.com/rooms/34813044,810,monthly,896,Tiny house,7,,33.83552,35.52829,0.9,0.0,entire_home,16
5,Furnished apartment in a residential area,https://www.airbnb.com/rooms/25376993,810,monthly,929,Entire apartment,2,,33.89185,35.53217,0.73,0.89,entire_home,2
6,Charming Artist's Apartment in Achrafieh,https://www.airbnb.com/rooms/35747643,816,monthly,925,Entire apartment,3,,33.886,35.52725,0.85,0.95,entire_home,3
7,Ashrafieh 101,https://www.airbnb.com/rooms/42731093,816,monthly,903,Entire apartment,2,,33.88434,35.52067,0.8,0.9,entire_home,4
8,fully furnished apartment for rent in Dik El Mehdi,https://www.airbnb.com/rooms/6648841,816,monthly,936,Entire apartment,6,,33.937,35.621,0.35,0.87,entire_home,2
9,Great Gemmayze Location! 2 BR apt,https://www.airbnb.com/rooms/6511240,819,monthly,961,Entire apartment,7,,33.89485,35.51792,0.7,0.89,entire_home,3
10,3 bedroom apartment in Broumana,https://www.airbnb.com/rooms/13803759,825,monthly,940,Entire apartment,7,,33.88391,35.63912,0.55,0.9,entire_home,6
11,"10 min away from down town, family style, charming",https://www.airbnb.com/rooms/39995534,831,monthly,941,Entire house,1,,33.89197,35.55005,0.67,0.87,entire_home,4
12,Charming Gemmayze Private Studio.,https://www.airbnb.com/rooms/31953621,836,monthly,936,Entire apartment,1,,33.8961,35.5201,0.82,0.95,entire_home,2
13,Newly renovated One bed room appartment at geitawi,https://www.airbnb.com/rooms/33112410,840,monthly,929,Entire apartment,15,,33.8933,35.53032,0.0,0.0,entire_home,3
14,"Charming 45m2 apartment in Beirut, Mar Mikhael",https://www.airbnb.com/rooms/32954944,840,monthly,929,Entire apartment,20,,33.89525,35.52939,0.0,0.0,entire_home,2
