,name,url,price_rate,price_rate_type,total_price,room_and_property_type,min_nights,max_nights,latitude,longitude,monthly_price_factor,weekly_price_factor,room_type,person_capacity
12,Design Apt || Unique Spot || Centre,https://www.airbnb.com/rooms/15742065,1847,monthly,2105,Entire apartment,30,,52.09487,5.11652,0.72,0.9,entire_home,2
13,"ruime, lichte kamer",https://www.airbnb.com/rooms/14101964,1853,monthly,2086,Entire floor,14,,52.08501,5.06273,0.9,0.95,entire_home,2
14,Vrijstaand tuinhuis,https://www.airbnb.com/rooms/28020264,1859,monthly,2087,Entire guesthouse,2,,52.27168,4.97262,0.62,0.85,entire_home,4
15,Vondelpark City Center Amsterdam,https://www.airbnb.com/rooms/42527816,1866,monthly,2064,Entire apartment,15,,52.35876,4.86296,0.8,1.0,entire_home,2
16,Cozy 1 room apartment in Amsterdam,https://www.airbnb.com/rooms/33009140,1866,monthly,2126,Entire apartment,1,,52.32721,4.87936,0.7,1.0,entire_home,2
17,Ruim appartement 'olijfje' in oude school,https://www.airbnb.com/rooms/42638892,1866,monthly,2083,Entire apartment,2,,52.1917,5.12139,0.8,0.9,entire_home,2
18,Appartement in oude school Nieuw Loosdrecht,https://www.airbnb.com/rooms/42634453,1866,monthly,2083,Entire apartment,2,,52.19213,5.12292,0.8,0.9,entire_home,2
19,luxe woonruimte,https://www.airbnb.com/rooms/30686193,1866,monthly,2083,Entire guesthouse,1,,52.36884,5.26194,0.7,0.85,entire_home,4
20,Volledige royale studio in de buurt van Amsterdam,https://www.airbnb.com/rooms/29531763,1866,monthly,2083,Entire house,1,,52.37004,5.26096,0.7,0.85,entire_home,4
21,Fully equipped short stay apartment Utrecht,https://www.airbnb.com/rooms/13000451,1866,monthly,2119,Entire apartment,14,,52.092,5.101,0.7,0.95,entire_home,4
22,"Studio in the polder, Nes aan de Amstel",https://www.airbnb.com/rooms/32416581,1866,monthly,2064,Entire apartment,1,,52.26122,4.8734,0.8,0.85,entire_home,2
23,Comfortable apartment next to city centre,https://www.airbnb.com/rooms/42357571,1874,monthly,2122,Entire apartment,1,,52.09024,5.08295,0.75,0.95,entire_home,4
24,Te huur voor Max 3 maanden,https://www.airbnb.com/rooms/41893733,1874,monthly,2073,Campsite,7,,52.62399,4.98167,0.75,0.79,entire_home,4
25,"Clean, CENTRAL modern apartment in classy South",https://www.airbnb.com/rooms/13657258,1879,monthly,2127,Entire apartment,28,,52.34394,4.85886,0.94,0.95,entire_home,3
26,Ica's cosy B&B/WiFi/pool&sea,https://www.airbnb.com/rooms/588662,1889,monthly,2114,Entire apartment,2,,52.58592,4.6656,0.81,0.0,entire_home,3
27,La luna,https://www.airbnb.com/rooms/29501167,1898,monthly,2099,Entire cabin,3,,52.63575,4.80116,0.85,0.9,entire_home,2
28,Real small cosy appartment,https://www.airbnb.com/rooms/39473926,1899,monthly,2101,Entire apartment,2,,52.35235,4.79465,0.6,1.0,entire_home,2
29,"Studio near Amsterdam ZiggoDome, Arena & AFAS live",https://www.airbnb.com/rooms/22398891,1901,monthly,2122,Entire guest suite,1,,52.29258,4.91151,0.85,0.95,entire_home,2
30,Spacious light apartment,https://www.airbnb.com/rooms/2892186,1919,monthly,2166,Entire apartment,7,,52.36431,4.94246,0.48,0.8,entire_home,2
31,Beautiful and light apartment in Amsterdam!,https://www.airbnb.com/rooms/43459635,1941,monthly,2207,Entire apartment,21,,52.3347,4.87477,1.0,1.0,entire_home,3
32,Accomodation on great location in Utrecht,https://www.airbnb.com/rooms/32863522,1949,monthly,2156,Entire house,5,,52.08415,5.12902,0.9,0.95,entire_home,1
33,prived apartment amsterdam,https://www.airbnb.com/rooms/23649021,1949,monthly,2187,Entire apartment,1,,52.3255,4.87746,0.65,0.77,entire_home,3
34,"Studio Amsterdam, Volendam, Zaanse Schans 2/3 pers",https://www.airbnb.com/rooms/29140652,1952,monthly,2184,Entire apartment,1,,52.50904,4.93127,0.9,0.9,entire_home,3
35,Gezinsappartement in rust nabij Amsterdam,https://www.airbnb.com/rooms/43598027,1952,monthly,2208,Entire apartment,2,,52.42765,4.9642,0.0,0.85,entire_home,4
36,Appartament Magnifique: A hidden gem on the fields,https://www.airbnb.com/rooms/38251744,1954,monthly,2217,Entire guesthouse,2,,52.43238,4.88178,0.85,0.95,entire_home,4
37,Be Zen in the City!,https://www.airbnb.com/rooms/4125860,1954,monthly,2192,Entire apartment,11,,52.09227,5.08425,0.85,0.9,entire_home,3
38,Ica's cosy apart attic/wifi&pool,https://www.airbnb.com/rooms/2611382,1959,monthly,2204,Entire loft,2,,52.58685,4.66505,0.6,0.9,entire_home,4
39,Cosy & authentic in Westerpark,https://www.airbnb.com/rooms/2186361,1959,monthly,2167,Entire apartment,1,,52.38468,4.87144,0.56,0.83,entire_home,2
40,Apartment B with Sauna 20 minutes from Amsterdam,https://www.airbnb.com/rooms/25026462,1974,monthly,2227,Entire apartment,2,,52.27651,5.1611,0.0,0.0,entire_home,2
41,Modern family appartment located in East,https://www.airbnb.com/rooms/18371253,1974,monthly,2184,Entire apartment,21,,52.3692,4.93094,0.75,0.85,entire_home,4
42,Characteristic cozy appartement  in the center.,https://www.airbnb.com/rooms/24223047,1977,monthly,2187,Entire apartment,3,,52.15352,4.49269,0.86,0.9,entire_home,3
43,"Chalet Vinkeveen (free, secluded on large ground)",https://www.airbnb.com/rooms/27821706,1982,monthly,2192,Entire guesthouse,3,,52.25,4.964,0.7,0.9,entire_home,4
44,Cosy B&B surrounded by art & nature,https://www.airbnb.com/rooms/5789956,1982,monthly,2192,Entire apartment,7,,52.09419,4.63072,0.7,0.9,entire_home,4
45,Chalet Spaarnwoude (bij Amsterdam en Haarlem),https://www.airbnb.com/rooms/36291998,1983,monthly,2194,Entire chalet,7,,52.39675,4.75509,0.5,0.9,entire_home,4
46,Gezellig appartement Aalsmeer ( ook short-stay ),https://www.airbnb.com/rooms/37878579,1984,monthly,2219,Entire apartment,1,,52.26069,4.72996,0.7,0.9,entire_home,2
47,Bright quiet apartment,https://www.airbnb.com/rooms/29638805,1992,monthly,2228,Entire apartment,4,,52.4408,4.81835,0.6,0.77,entire_home,2
48,Great apartment near Amsterdam,https://www.airbnb.com/rooms/20131054,1999,monthly,2310,Entire apartment,3,,52.2684,4.747,0.5,0.8,entire_home,2
49,Nice & bright apartment in Utrecht city,https://www.airbnb.com/rooms/29726097,1999,monthly,2267,Entire apartment,14,,52.0921,5.10011,0.75,0.0,entire_home,4
50,Lovely studio in the centre of Utrecht!,https://www.airbnb.com/rooms/19858553,1999,monthly,2273,Entire apartment,2,,52.09339,5.1232,0.75,0.85,entire_home,2
51,Farmhouse apartment. Total freedom. Pets welcome,https://www.airbnb.com/rooms/8579898,1999,monthly,2260,Entire apartment,2,,52.58839,4.81437,0.75,0.9,entire_home,2
52,Original Dutch house close by Amsterdam,https://www.airbnb.com/rooms/40862714,1999,monthly,2242,Entire townhouse,4,,52.43504,4.8342,0.8,0.9,entire_home,2
53,Charming apartment in Haarlem,https://www.airbnb.com/rooms/1957255,1999,monthly,2273,Entire apartment,5,,52.38474,4.63579,0.5,1.0,entire_home,6
54,compact zelfstandig appartement nabij centrum,https://www.airbnb.com/rooms/36754847,1999,monthly,2211,Entire apartment,2,,52.22895,5.16614,0.6,0.85,entire_home,2
55,Lovely studio in Amsterdam's centre,https://www.airbnb.com/rooms/1744304,1999,monthly,2291,Entire apartment,4,,52.37464,4.92205,0.4,0.0,entire_home,3
56,Clean and compact studio apartment,https://www.airbnb.com/rooms/42704756,1999,monthly,2360,Entire apartment,30,,52.08515,5.12549,0.0,0.0,entire_home,1
57,Private Remodeled Apartment,https://www.airbnb.com/rooms/4001846,1999,monthly,2273,Entire apartment,1,,52.39232,4.62972,0.6,0.9,entire_home,3
58,Apartment Marktzicht,https://www.airbnb.com/rooms/10406346,1999,monthly,2248,Entire apartment,2,,52.63094,4.75049,0.8,0.9,entire_home,2
59,Boot (Doerak) 'De Vrijheid',https://www.airbnb.com/rooms/13692349,1999,monthly,2211,Boat,5,,52.56075,4.86044,0.0,0.0,entire_home,2
0,Bright and comfy apartment with roof terrace,https://www.airbnb.com/rooms/40907682,2053,monthly,2333,Entire apartment,2,,52.36574,4.94304,0.8,0.9,entire_home,4
1,Great room for max three people close to Amstel River,https://www.airbnb.com/rooms/42291217,2128,monthly,2428,Entire apartment,2,,52.33509,4.93214,1.0,1.0,entire_home,6
