,name,url,price_rate,price_rate_type,total_price,room_and_property_type,min_nights,max_nights,latitude,longitude,monthly_price_factor,weekly_price_factor,room_type,person_capacity
98,,https://www.airbnb.com/rooms/41601000,1086,monthly,1231,Entire apartment,3,,25.29611,55.37952,0.95,0.95,entire_home,2
99,,https://www.airbnb.com/rooms/42161213,1078,monthly,1241,Entire apartment,21,,25.11747,55.38808,0.88,0.95,entire_home,4
100,,https://www.airbnb.com/rooms/39579569,1062,monthly,1175,Entire serviced apartment,1,,25.10208,55.17242,0.0,0.0,entire_home,2
101,,https://www.airbnb.com/rooms/39191673,1062,monthly,1175,Entire serviced apartment,1,,25.09619,55.1749,0.0,0.0,entire_home,2
102,,https://www.airbnb.com/rooms/39575476,1062,monthly,1175,Entire serviced apartment,1,,25.09981,55.1734,0.0,0.0,entire_home,2
103,,https://www.airbnb.com/rooms/39427426,1062,monthly,1175,Entire serviced apartment,1,,25.1024,55.17618,0.0,0.0,entire_home,2
104,,https://www.airbnb.com/rooms/39581178,1062,monthly,1175,Entire serviced apartment,1,,25.10036,55.1736,0.0,0.0,entire_home,2
105,,https://www.airbnb.com/rooms/39580945,1062,monthly,1175,Entire serviced apartment,1,,25.10172,55.17397,0.0,0.0,entire_home,2
106,,https://www.airbnb.com/rooms/39426792,1062,monthly,1175,Entire serviced apartment,1,,25.0994,55.17434,0.0,0.0,entire_home,2
107,,https://www.airbnb.com/rooms/39641662,1062,monthly,1175,Entire serviced apartment,1,,25.10181,55.17531,0.0,0.0,entire_home,2
108,,https://www.airbnb.com/rooms/43170014,1127,monthly,1247,Entire apartment,1,,25.12887,55.38533,0.92,0.0,entire_home,2
109,,https://www.airbnb.com/rooms/38805096,1022,monthly,1036,Entire apartment,3,,25.16636,55.40274,0.9,0.98,entire_home,3
110,,https://www.airbnb.com/rooms/36516731,1127,monthly,1247,Entire apartment,7,,25.03884,55.14209,0.92,0.95,entire_home,2
111,,https://www.airbnb.com/rooms/19372175,1176,monthly,1301,Entire apartment,2,,25.14274,55.2523,0.8,0.85,entire_home,3
112,,https://www.airbnb.com/rooms/35300781,1048,monthly,1159,Entire apartment,3,,25.05733,55.24202,0.85,0.93,entire_home,3
113,,https://www.airbnb.com/rooms/43052232,1062,monthly,1175,Entire serviced apartment,1,,25.04869,55.13377,1.0,1.0,entire_home,5
114,,https://www.airbnb.com/rooms/41444581,1048,monthly,1159,Entire apartment,7,,25.0598,55.24088,0.85,0.85,entire_home,3
115,,https://www.airbnb.com/rooms/17896169,1176,monthly,1301,Entire apartment,1,,25.26922,55.36031,0.6,0.86,entire_home,2
116,,https://www.airbnb.com/rooms/42241725,1102,monthly,1219,Entire apartment,30,,25.07087,55.20846,0.51,0.79,entire_home,2
117,,https://www.airbnb.com/rooms/33884296,1048,monthly,1159,Entire serviced apartment,1,,25.04862,55.13279,0.85,0.95,entire_home,1
118,,https://www.airbnb.com/rooms/39578707,1062,monthly,1175,Entire serviced apartment,1,,25.09987,55.1744,0.0,0.0,entire_home,2
119,,https://www.airbnb.com/rooms/43203770,1176,monthly,1301,Entire apartment,1,,25.03193,55.19551,0.9,0.99,entire_home,3
