,venue,lat,lon,address,category
210,Dubai International Academy - Tennis Courts,25.07750838202412,55.17867553843017,Emirates Hills,Tennis Court
211,Emarat,25.095139,55.1916,Tecom,Gas Station
212,Al barshaa firestation,25.08943251568009,55.189356747438936,Al Barshaa,Fire Station
213,Zayed sports city,25.087449304922416,55.19721349015504,,Athletics & Sports
214,Barista,25.092434210169934,55.176324881014644,,Café
215,Anantara Palm resort & spa,25.085759222858144,55.201446831597956,,Resort
216,Charlie's Grilled Sub,25.08317972314915,55.20073496846631,,Burger Joint
217,Locatelli - Atlantis Hotel Palm Jumeirah,25.08547226571969,55.18198058579257,,Hotel
218,Ibadurrahman Mosque,25.095863342285156,55.189762115478516,,Mosque
219,Al Salam School,25.093666376297513,55.19751547955583,,School
220,Leader tower,25.095129,55.181736,Techom,Building
221,Dubai International Academy,25.07818821589318,55.178837283289255,,School
222,Al Hadaq seafood restaurant,25.09345179742429,55.18514156341552,Hessa St,Seafood Restaurant
223,K's Place,25.089724968438894,55.17531131473188,"The Greens, UAE",Residential Building (Apartment / Condo)
224,"Al Barsha 3, Srreet No: 20",25.089185862398832,55.193832360120496,,Building
225,Unser Zuhause Gym,25.094151592405865,55.178729453349206,Tecom,Gym
226,Dream Guest House,25.095237,55.196398,,Bed & Breakfast
227,Salam Pool Area,25.088568,55.193947,,Hotel Pool
228,Jabel Ali Race,25.08523987374184,55.17764577000235,Jabel Ali Race,Athletics & Sports
229,Sulukeyat,25.093157,55.185867,Hessa Street,General College & University
230,DuPlays Basketball League (DIA),25.07833175641131,55.17911225025185,Al Barsha,College Basketball Court
231,Assembly @ DIA,25.07775709309846,55.17829813494884,,College Academic Building
232,The Shetty Residence,25.094776097679635,55.18188353527329,,Ski Lodge
233,Jabal Al Rahma Cafeteria,25.092578,55.198521,Al Barsha 3,Cafeteria
234,Al Sayah Mens Salon,25.092417,55.19825,,Salon / Barbershop
235,DT Lab DIA,25.077442702779653,55.17733306790848,,High School
236,Mahiti,25.0736704501147,55.1908719587816,Jumeira Beach Hotel,Nightclub
