,venue,lat,lon,address,category
20246,Vidikovac Belvedere,42.6349200963619,18.135967638474675,Jadranska magistrala,Other Great Outdoors
20247,Botanical Garden Lokrum,42.625619414056736,18.121098428593577,Lokrum,Botanical Garden
20248,Otok Lokrum,42.62785164355017,18.12032217916567,Lokrum,Island
20249,Vila Rozic,42.584336,18.214081,,Hotel
20250,Park Prevlaka,42.57834978710699,18.214019317105663,,Historic Site
20251,630 номер с Милесей,42.577982,18.214491,,Residential Building (Apartment / Condo)
20252,353 Номер,42.578519,18.213983,,Housing Development
20253,SPA Center,42.57844543457031,18.212764739990234,Hotel Croatia,Spa
20254,Energy Clinic - Hotel Croatia,42.57857147921275,18.215010166168213,Frankopanska 10,Spa
20255,Marina Cavtat,42.582542807728686,18.216467368930008,,Pier
20256,Dalmatino,42.581324373543126,18.218910105010128,,Mediterranean Restaurant
20257,Sea Kayaking Cavtat,42.58672393240888,18.21131944656372,Obala Ante Starčevića 25,Surf Spot
20258,Caffe bar Amor,42.58156175578802,18.216841141579152,Ante starcevica 10,Café
20259,Bugenvila,42.582160407141956,18.21666074902334,Obala A. Starčevića 9,Italian Restaurant
20260,Croatia Hotel,42.57843055604365,18.213845564574996,Frankopanska 10,Hotel
20261,Mrtvo More (Dead Sea) (Mrtvo More),42.62265177103421,18.120393097269698,Lokrum,Lake
20262,Leut Restaurant,42.58084730548218,18.217244726259917,,Mediterranean Restaurant
20263,Lacroma,42.6078975,18.19643333333333,,
20264,Villa Ivy,42.583826,18.216734,,
20265,Mjesto za pišanje,42.580292,18.216769,,Emergency Room
20266,Villa Radovic Cavtat,42.57893991797057,18.219828497480048,Ljudevita Gaja 3,
20267,Zalogajnica,42.585857,18.214719,,Café
20268,Benedictine Monastery,42.62446457895582,18.12067603073935,,Monastery
20269,Breakfast,42.578480366359095,18.21390927382532,,Breakfast Spot
20270,Sail both Vaníla,42.580792,18.215149,Cavtat,Boat or Ferry
20271,Villa Laus,42.579426,18.219748,,General Travel
20272,Kozmo P-1924,42.583013,18.215923,Ante Starcevica 34,Cosmetics Shop
20273,Villa Vista,42.583643,18.215982,,Residential Building (Apartment / Condo)
20274,Villa Darrer,42.618147344632774,18.175826242937852,,Residential Building (Apartment / Condo)
20275,Villa Filipa,42.5842104962472,18.215229795678635,Supilova 3,Residential Building (Apartment / Condo)
